"","cookie","Image","Color_mean","Color_SD","Folder","Date","Site","Tank_color","Temperature","Bag_number","Project","Country","SITE","Latitude","Longitude","Species","Genotype","Condition","Pam_value","Timepoint","SampleID_clean","MINIMUM_DEPTH_FEET","MAXIMUM_DEPTH_FEET","MINIMUM_DEPTH_METERS","MAXIMUM_DEPTH_METERS","Mean_inverted","K_3","Rel_Temperature"
"244",12,"IMG_4762.jpg",6.996,0.91,"02.13.2026_ESA-TUT-007_AFTER",20260213,"7","8-purple",38,35,"ESA","TUT","ESA_TUT_7",-14.24378,-170.66918,"AGLO",5,"wild",0.303,420,"7_AGLO_5",29,40,8.8392,12.192,3.004,"3",9
"245",13,"IMG_4762.jpg",6.632,0.96,"02.13.2026_ESA-TUT-007_AFTER",20260213,"7","8-purple",38,3,"ESA","TUT","ESA_TUT_7",-14.24378,-170.66918,"AGLO",6,"wild",0.5,420,"7_AGLO_6",29,40,8.8392,12.192,3.368,"3",9
"246",14,"IMG_4762.jpg",5.88,0.952,"02.13.2026_ESA-TUT-007_AFTER",20260213,"7","8-purple",38,31,"ESA","TUT","ESA_TUT_7",-14.24378,-170.66918,"AGLO",7,"wild",0.506,420,"7_AGLO_7",29,40,8.8392,12.192,4.12,"3",9
"247",15,"IMG_4762.jpg",6.356,0.838,"02.13.2026_ESA-TUT-007_AFTER",20260213,"7","8-purple",38,30,"ESA","TUT","ESA_TUT_7",-14.24378,-170.66918,"AGLO",8,"wild",0.413,420,"7_AGLO_8",29,40,8.8392,12.192,3.644,"3",9
"248",16,"IMG_4762.jpg",6.913,0.919,"02.13.2026_ESA-TUT-007_AFTER",20260213,"7","8-purple",38,21,"ESA","TUT","ESA_TUT_7",-14.24378,-170.66918,"AGLO",9,"wild",0.413,420,"7_AGLO_9",29,40,8.8392,12.192,3.087,"3",9
"249",17,"IMG_4762.jpg",6.324,1.214,"02.13.2026_ESA-TUT-007_AFTER",20260213,"7","8-purple",38,5,"ESA","TUT","ESA_TUT_7",-14.24378,-170.66918,"AGLO",10,"wild",0.406,420,"7_AGLO_10",29,40,8.8392,12.192,3.676,"3",9
"250",18,"IMG_4762.jpg",6.333,0.979,"02.13.2026_ESA-TUT-007_AFTER",20260213,"7","8-purple",38,23,"ESA","TUT","ESA_TUT_7",-14.24378,-170.66918,"AGLO",11,"wild",0.402,420,"7_AGLO_11",27,42,8.2296,12.8016,3.667,"3",9
"251",1,"IMG_4764.jpg",5.733,1.655,"02.13.2026_ESA-TUT-007_AFTER",20260213,"7","2-blue",37,26,"ESA","TUT","ESA_TUT_7",-14.24378,-170.66918,"AABR",1,"wild",0.516,420,"7_AABR_1",29,40,8.8392,12.192,4.267,"3",8
"252",2,"IMG_4764.jpg",6.273,1.366,"02.13.2026_ESA-TUT-007_AFTER",20260213,"7","2-blue",37,27,"ESA","TUT","ESA_TUT_7",-14.24378,-170.66918,"AABR",2,"wild",0.509,420,"7_AABR_2",29,40,8.8392,12.192,3.727,"3",8
"253",3,"IMG_4764.jpg",4.343,1.005,"02.13.2026_ESA-TUT-007_AFTER",20260213,"7","2-blue",37,28,"ESA","TUT","ESA_TUT_7",-14.24378,-170.66918,"AABR",3,"wild",0.53,420,"7_AABR_3",29,40,8.8392,12.192,5.657,"3",8
"254",4,"IMG_4764.jpg",7.278,1.101,"02.13.2026_ESA-TUT-007_AFTER",20260213,"7","2-blue",37,2,"ESA","TUT","ESA_TUT_7",-14.24378,-170.66918,"AABR",4,"wild",0.538,420,"7_AABR_4",29,40,8.8392,12.192,2.722,"3",8
"255",5,"IMG_4764.jpg",6.232,0.906,"02.13.2026_ESA-TUT-007_AFTER",20260213,"7","2-blue",37,32,"ESA","TUT","ESA_TUT_7",-14.24378,-170.66918,"AHYA",1,"wild",0.587,420,"7_AHYA_1",29,40,8.8392,12.192,3.768,"1",8
"256",6,"IMG_4764.jpg",4.349,0.94,"02.13.2026_ESA-TUT-007_AFTER",20260213,"7","2-blue",37,16,"ESA","TUT","ESA_TUT_7",-14.24378,-170.66918,"AABR",5,"wild",0.455,420,"7_AABR_5",29,40,8.8392,12.192,5.651,"3",8
"257",7,"IMG_4764.jpg",5.281,0.895,"02.13.2026_ESA-TUT-007_AFTER",20260213,"7","2-blue",37,1,"ESA","TUT","ESA_TUT_7",-14.24378,-170.66918,"AABR",6,"wild",0.517,420,"7_AABR_6",29,40,8.8392,12.192,4.719,"3",8
"258",8,"IMG_4764.jpg",5.943,1.248,"02.13.2026_ESA-TUT-007_AFTER",20260213,"7","2-blue",37,33,"ESA","TUT","ESA_TUT_7",-14.24378,-170.66918,"AGLO",1,"wild",0.429,420,"7_AGLO_1",29,40,8.8392,12.192,4.057,"3",8
"259",9,"IMG_4764.jpg",5.425,1.073,"02.13.2026_ESA-TUT-007_AFTER",20260213,"7","2-blue",37,29,"ESA","TUT","ESA_TUT_7",-14.24378,-170.66918,"AGLO",2,"wild",0.489,420,"7_AGLO_2",29,40,8.8392,12.192,4.575,"3",8
"260",10,"IMG_4764.jpg",4.687,1.101,"02.13.2026_ESA-TUT-007_AFTER",20260213,"7","2-blue",37,22,"ESA","TUT","ESA_TUT_7",-14.24378,-170.66918,"AGLO",3,"wild",0.486,420,"7_AGLO_3",29,40,8.8392,12.192,5.313,"3",8
"261",11,"IMG_4764.jpg",6.183,1.043,"02.13.2026_ESA-TUT-007_AFTER",20260213,"7","2-blue",37,34,"ESA","TUT","ESA_TUT_7",-14.24378,-170.66918,"AGLO",4,"wild",0.344,420,"7_AGLO_4",29,40,8.8392,12.192,3.817,"3",8
"262",12,"IMG_4764.jpg",6.108,1.155,"02.13.2026_ESA-TUT-007_AFTER",20260213,"7","2-blue",37,35,"ESA","TUT","ESA_TUT_7",-14.24378,-170.66918,"AGLO",5,"wild",0.505,420,"7_AGLO_5",29,40,8.8392,12.192,3.892,"3",8
"263",13,"IMG_4764.jpg",5.808,0.999,"02.13.2026_ESA-TUT-007_AFTER",20260213,"7","2-blue",37,3,"ESA","TUT","ESA_TUT_7",-14.24378,-170.66918,"AGLO",6,"wild",0.575,420,"7_AGLO_6",29,40,8.8392,12.192,4.192,"3",8
"264",14,"IMG_4764.jpg",5.267,1.323,"02.13.2026_ESA-TUT-007_AFTER",20260213,"7","2-blue",37,31,"ESA","TUT","ESA_TUT_7",-14.24378,-170.66918,"AGLO",7,"wild",0.488,420,"7_AGLO_7",29,40,8.8392,12.192,4.733,"3",8
"265",15,"IMG_4764.jpg",5.226,1.252,"02.13.2026_ESA-TUT-007_AFTER",20260213,"7","2-blue",37,30,"ESA","TUT","ESA_TUT_7",-14.24378,-170.66918,"AGLO",8,"wild",0.424,420,"7_AGLO_8",29,40,8.8392,12.192,4.774,"3",8
"266",16,"IMG_4764.jpg",5.041,0.981,"02.13.2026_ESA-TUT-007_AFTER",20260213,"7","2-blue",37,21,"ESA","TUT","ESA_TUT_7",-14.24378,-170.66918,"AGLO",9,"wild",0.433,420,"7_AGLO_9",29,40,8.8392,12.192,4.959,"3",8
"267",17,"IMG_4764.jpg",4.288,0.964,"02.13.2026_ESA-TUT-007_AFTER",20260213,"7","2-blue",37,5,"ESA","TUT","ESA_TUT_7",-14.24378,-170.66918,"AGLO",10,"wild",0.551,420,"7_AGLO_10",29,40,8.8392,12.192,5.712,"3",8
"268",18,"IMG_4764.jpg",5.789,0.934,"02.13.2026_ESA-TUT-007_AFTER",20260213,"7","2-blue",37,23,"ESA","TUT","ESA_TUT_7",-14.24378,-170.66918,"AGLO",11,"wild",0.504,420,"7_AGLO_11",29,40,8.8392,12.192,4.211,"3",8
"269",1,"IMG_4765.jpg",7.07,0.855,"02.13.2026_ESA-TUT-007_AFTER",20260213,"7","7-grey",34,26,"ESA","TUT","ESA_TUT_7",-14.24378,-170.66918,"AABR",1,"wild",0.65,420,"7_AABR_1",29,40,8.8392,12.192,2.93,"3",5
"270",2,"IMG_4765.jpg",7.316,0.652,"02.13.2026_ESA-TUT-007_AFTER",20260213,"7","7-grey",34,27,"ESA","TUT","ESA_TUT_7",-14.24378,-170.66918,"AABR",2,"wild",0.641,420,"7_AABR_2",29,40,8.8392,12.192,2.684,"3",5
"271",3,"IMG_4765.jpg",7.357,0.997,"02.13.2026_ESA-TUT-007_AFTER",20260213,"7","7-grey",34,28,"ESA","TUT","ESA_TUT_7",-14.24378,-170.66918,"AABR",3,"wild",0.655,420,"7_AABR_3",29,40,8.8392,12.192,2.643,"3",5
"272",4,"IMG_4765.jpg",5.954,0.675,"02.13.2026_ESA-TUT-007_AFTER",20260213,"7","7-grey",34,2,"ESA","TUT","ESA_TUT_7",-14.24378,-170.66918,"AABR",4,"wild",0.637,420,"7_AABR_4",29,40,8.8392,12.192,4.046,"3",5
"273",5,"IMG_4765.jpg",7.445,0.515,"02.13.2026_ESA-TUT-007_AFTER",20260213,"7","7-grey",34,32,"ESA","TUT","ESA_TUT_7",-14.24378,-170.66918,"AHYA",1,"wild",0.662,420,"7_AHYA_1",29,40,8.8392,12.192,2.555,"1",5
"274",6,"IMG_4765.jpg",6.354,0.689,"02.13.2026_ESA-TUT-007_AFTER",20260213,"7","7-grey",34,16,"ESA","TUT","ESA_TUT_7",-14.24378,-170.66918,"AABR",5,"wild",0.631,420,"7_AABR_5",29,40,8.8392,12.192,3.646,"3",5
"275",7,"IMG_4765.jpg",6.972,0.417,"02.13.2026_ESA-TUT-007_AFTER",20260213,"7","7-grey",34,1,"ESA","TUT","ESA_TUT_7",-14.24378,-170.66918,"AABR",6,"wild",0.682,420,"7_AABR_6",29,40,8.8392,12.192,3.028,"3",5
"276",8,"IMG_4765.jpg",6.353,1.114,"02.13.2026_ESA-TUT-007_AFTER",20260213,"7","7-grey",34,33,"ESA","TUT","ESA_TUT_7",-14.24378,-170.66918,"AGLO",1,"wild",0.653,420,"7_AGLO_1",29,40,8.8392,12.192,3.647,"3",5
"277",9,"IMG_4765.jpg",7.228,0.648,"02.13.2026_ESA-TUT-007_AFTER",20260213,"7","7-grey",34,29,"ESA","TUT","ESA_TUT_7",-14.24378,-170.66918,"AGLO",2,"wild",0.662,420,"7_AGLO_2",29,40,8.8392,12.192,2.772,"3",5
"278",10,"IMG_4765.jpg",7.589,0.782,"02.13.2026_ESA-TUT-007_AFTER",20260213,"7","7-grey",34,22,"ESA","TUT","ESA_TUT_7",-14.24378,-170.66918,"AGLO",3,"wild",0.636,420,"7_AGLO_3",29,40,8.8392,12.192,2.411,"3",5
"279",11,"IMG_4765.jpg",5.987,0.724,"02.13.2026_ESA-TUT-007_AFTER",20260213,"7","7-grey",34,34,"ESA","TUT","ESA_TUT_7",-14.24378,-170.66918,"AGLO",4,"wild",0.632,420,"7_AGLO_4",29,40,8.8392,12.192,4.013,"3",5
"280",12,"IMG_4765.jpg",7.167,1.062,"02.13.2026_ESA-TUT-007_AFTER",20260213,"7","7-grey",34,35,"ESA","TUT","ESA_TUT_7",-14.24378,-170.66918,"AGLO",5,"wild",0.663,420,"7_AGLO_5",29,40,8.8392,12.192,2.833,"3",5
"281",13,"IMG_4765.jpg",6.368,0.502,"02.13.2026_ESA-TUT-007_AFTER",20260213,"7","7-grey",34,3,"ESA","TUT","ESA_TUT_7",-14.24378,-170.66918,"AGLO",6,"wild",0.624,420,"7_AGLO_6",29,40,8.8392,12.192,3.632,"3",5
"282",14,"IMG_4765.jpg",7.09,0.524,"02.13.2026_ESA-TUT-007_AFTER",20260213,"7","7-grey",34,31,"ESA","TUT","ESA_TUT_7",-14.24378,-170.66918,"AGLO",7,"wild",0.669,420,"7_AGLO_7",29,40,8.8392,12.192,2.91,"3",5
"283",15,"IMG_4765.jpg",6.19,0.574,"02.13.2026_ESA-TUT-007_AFTER",20260213,"7","7-grey",34,30,"ESA","TUT","ESA_TUT_7",-14.24378,-170.66918,"AGLO",8,"wild",0.661,420,"7_AGLO_8",29,40,8.8392,12.192,3.81,"3",5
"284",16,"IMG_4765.jpg",6.213,0.603,"02.13.2026_ESA-TUT-007_AFTER",20260213,"7","7-grey",34,21,"ESA","TUT","ESA_TUT_7",-14.24378,-170.66918,"AGLO",9,"wild",0.636,420,"7_AGLO_9",29,40,8.8392,12.192,3.787,"3",5
"285",17,"IMG_4765.jpg",6.942,0.48,"02.13.2026_ESA-TUT-007_AFTER",20260213,"7","7-grey",34,5,"ESA","TUT","ESA_TUT_7",-14.24378,-170.66918,"AGLO",10,"wild",0.664,420,"7_AGLO_10",29,40,8.8392,12.192,3.058,"3",5
"286",18,"IMG_4765.jpg",5.23,0.515,"02.13.2026_ESA-TUT-007_AFTER",20260213,"7","7-grey",34,23,"ESA","TUT","ESA_TUT_7",-14.24378,-170.66918,"AGLO",11,"wild",0.656,420,"7_AGLO_11",29,40,8.8392,12.192,4.77,"3",5
"287",1,"IMG_4766.jpg",10.203,0.585,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","4-yellow",29,5,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"AHYA",1,"wild",0.651,420,"1_AHYA_1",30,41,9.144,12.4968,-0.202999999999999,"1",0
"288",2,"IMG_4766.jpg",7.92,0.654,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","4-yellow",29,31,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"ICRA",1,"wild",0.606,420,"1_ICRA_1",30,41,9.144,12.4968,2.08,"2",0
"289",3,"IMG_4766.jpg",8.302,0.869,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","4-yellow",29,26,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"ICRA",2,"wild",0.65,420,"1_ICRA_2",30,41,9.144,12.4968,1.698,"2",0
"290",4,"IMG_4766.jpg",8.469,0.799,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","4-yellow",29,12,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"ICRA",3,"wild",0.589,420,"1_ICRA_3",30,41,9.144,12.4968,1.531,"2",0
"291",5,"IMG_4766.jpg",9.372,1.517,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","4-yellow",29,29,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"ICRA",4,"wild",0.565,420,"1_ICRA_4",30,41,9.144,12.4968,0.628,"2",0
"292",6,"IMG_4766.jpg",8.124,1.405,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","4-yellow",29,11,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"ICRA",5,"wild",0.637,420,"1_ICRA_5",30,41,9.144,12.4968,1.876,"2",0
"293",7,"IMG_4766.jpg",8.269,0.965,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","4-yellow",29,13,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"ICRA",6,"wild",0.569,420,"1_ICRA_6",30,41,9.144,12.4968,1.731,"2",0
"294",8,"IMG_4766.jpg",8.699,0.502,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","4-yellow",29,27,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"ICRA",7,"wild",0.588,420,"1_ICRA_7",30,41,9.144,12.4968,1.301,"2",0
"295",9,"IMG_4766.jpg",8.957,1.047,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","4-yellow",29,25,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"ICRA",8,"wild",0.606,420,"1_ICRA_8",30,41,9.144,12.4968,1.043,"2",0
"296",10,"IMG_4766.jpg",8.53,0.799,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","4-yellow",29,37,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"AGLO",1,"wild",0.647,420,"1_AGLO_1",30,41,9.144,12.4968,1.47,"1",0
"297",11,"IMG_4766.jpg",8.287,0.771,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","4-yellow",29,38,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"AGLO",2,"wild",0.647,420,"1_AGLO_2",30,41,9.144,12.4968,1.713,"1",0
"298",12,"IMG_4766.jpg",7.871,0.606,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","4-yellow",29,23,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"AGLO",3,"wild",0.635,420,"1_AGLO_3",30,41,9.144,12.4968,2.129,"1",0
"299",13,"IMG_4766.jpg",8.872,0.409,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","4-yellow",29,7,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"AGLO",4,"wild",0.653,420,"1_AGLO_4",30,41,9.144,12.4968,1.128,"1",0
"300",14,"IMG_4766.jpg",8.86,0.811,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","4-yellow",29,39,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"AGLO",5,"wild",0.651,420,"1_AGLO_5",30,41,9.144,12.4968,1.14,"1",0
"301",15,"IMG_4766.jpg",8.997,0.734,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","4-yellow",29,36,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"AGLO",6,"wild",0.658,420,"1_AGLO_6",30,41,9.144,12.4968,1.003,"1",0
"302",16,"IMG_4766.jpg",8.727,0.555,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","4-yellow",29,24,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"AGLO",7,"wild",0.61,420,"1_AGLO_7",30,41,9.144,12.4968,1.273,"1",0
"303",17,"IMG_4766.jpg",8.715,0.778,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","4-yellow",29,6,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"AGLO",8,"wild",0.65,420,"1_AGLO_8",30,41,9.144,12.4968,1.285,"1",0
"304",18,"IMG_4766.jpg",9.02,0.41,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","4-yellow",29,9,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"AGLO",9,"wild",0.642,420,"1_AGLO_9",30,41,9.144,12.4968,0.98,"1",0
"305",19,"IMG_4766.jpg",8.938,0.953,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","4-yellow",29,22,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"AABR",1,"wild",0.652,420,"1_AABR_1",30,41,9.144,12.4968,1.062,"1",0
"306",20,"IMG_4766.jpg",8.547,0.809,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","4-yellow",29,21,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"AABR",2,"wild",0.615,420,"1_AABR_2",30,41,9.144,12.4968,1.453,"1",0
"307",1,"IMG_4767.jpg",9.953,0.387,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","2-blue",34,5,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"AHYA",1,"wild",0.659,420,"1_AHYA_1",30,41,9.144,12.4968,0.0470000000000006,"1",5
"308",2,"IMG_4767.jpg",8.712,0.606,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","2-blue",34,31,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"ICRA",1,"wild",0.631,420,"1_ICRA_1",30,41,9.144,12.4968,1.288,"2",5
"309",3,"IMG_4767.jpg",7.42,0.579,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","2-blue",34,26,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"ICRA",2,"wild",0.591,420,"1_ICRA_2",30,41,9.144,12.4968,2.58,"2",5
"310",4,"IMG_4767.jpg",8.411,1.08,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","2-blue",34,12,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"ICRA",3,"wild",0.628,420,"1_ICRA_3",30,41,9.144,12.4968,1.589,"2",5
"311",5,"IMG_4767.jpg",9.492,0.641,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","2-blue",34,29,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"ICRA",4,"wild",0.607,420,"1_ICRA_4",30,41,9.144,12.4968,0.507999999999999,"2",5
"312",6,"IMG_4767.jpg",8.328,0.712,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","2-blue",34,11,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"ICRA",5,"wild",0.627,420,"1_ICRA_5",30,41,9.144,12.4968,1.672,"2",5
"313",7,"IMG_4767.jpg",8.083,0.813,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","2-blue",34,13,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"ICRA",6,"wild",0.591,420,"1_ICRA_6",30,41,9.144,12.4968,1.917,"2",5
"314",8,"IMG_4767.jpg",8.544,1.296,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","2-blue",34,27,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"ICRA",7,"wild",0.596,420,"1_ICRA_7",30,41,9.144,12.4968,1.456,"2",5
"315",9,"IMG_4767.jpg",9.268,0.873,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","2-blue",34,25,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"ICRA",8,"wild",0.607,420,"1_ICRA_8",30,41,9.144,12.4968,0.731999999999999,"2",5
"316",10,"IMG_4767.jpg",8.395,0.729,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","2-blue",34,37,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"AGLO",1,"wild",0.668,420,"1_AGLO_1",30,41,9.144,12.4968,1.605,"1",5
"317",11,"IMG_4767.jpg",7.446,0.718,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","2-blue",34,38,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"AGLO",2,"wild",0.605,420,"1_AGLO_2",30,41,9.144,12.4968,2.554,"1",5
"318",12,"IMG_4767.jpg",7.041,0.441,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","2-blue",34,23,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"AGLO",3,"wild",0.622,420,"1_AGLO_3",30,41,9.144,12.4968,2.959,"1",5
"319",13,"IMG_4767.jpg",6.531,0.603,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","2-blue",34,7,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"AGLO",4,"wild",0.576,420,"1_AGLO_4",30,41,9.144,12.4968,3.469,"1",5
"320",14,"IMG_4767.jpg",8.653,0.891,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","2-blue",34,39,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"AGLO",5,"wild",0.634,420,"1_AGLO_5",30,41,9.144,12.4968,1.347,"1",5
"321",15,"IMG_4767.jpg",8.096,0.54,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","2-blue",34,36,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"AGLO",6,"wild",0.64,420,"1_AGLO_6",30,41,9.144,12.4968,1.904,"1",5
"322",16,"IMG_4767.jpg",6.236,0.637,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","2-blue",34,24,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"AGLO",7,"wild",0.621,420,"1_AGLO_7",30,41,9.144,12.4968,3.764,"1",5
"323",17,"IMG_4767.jpg",7.41,0.653,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","2-blue",34,6,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"AGLO",8,"wild",0.616,420,"1_AGLO_8",30,41,9.144,12.4968,2.59,"1",5
"324",18,"IMG_4767.jpg",7.864,0.74,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","2-blue",34,9,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"AGLO",9,"wild",0.633,420,"1_AGLO_9",30,41,9.144,12.4968,2.136,"1",5
"325",19,"IMG_4767.jpg",8.387,0.689,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","2-blue",34,22,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"AABR",1,"wild",0.638,420,"1_AABR_1",30,41,9.144,12.4968,1.613,"1",5
"326",20,"IMG_4767.jpg",8.137,0.87,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","2-blue",34,21,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"AABR",2,"wild",0.615,420,"1_AABR_2",30,41,9.144,12.4968,1.863,"1",5
"327",1,"IMG_4768.jpg",8.112,1.107,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","5-orange",35,5,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"AHYA",1,"wild",0.626,420,"1_AHYA_1",30,41,9.144,12.4968,1.888,"1",6
"328",2,"IMG_4768.jpg",7.845,0.839,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","5-orange",35,31,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"ICRA",1,"wild",0.654,420,"1_ICRA_1",30,41,9.144,12.4968,2.155,"2",6
"329",3,"IMG_4768.jpg",7.217,0.946,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","5-orange",35,26,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"ICRA",2,"wild",0.634,420,"1_ICRA_2",30,41,9.144,12.4968,2.783,"2",6
"330",4,"IMG_4768.jpg",7.929,0.767,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","5-orange",35,12,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"ICRA",3,"wild",0.624,420,"1_ICRA_3",30,41,9.144,12.4968,2.071,"2",6
"331",5,"IMG_4768.jpg",8.619,0.763,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","5-orange",35,29,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"ICRA",4,"wild",0.575,420,"1_ICRA_4",30,41,9.144,12.4968,1.381,"2",6
"332",6,"IMG_4768.jpg",7.251,0.946,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","5-orange",35,11,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"ICRA",5,"wild",0.646,420,"1_ICRA_5",30,41,9.144,12.4968,2.749,"2",6
"333",7,"IMG_4768.jpg",6.442,0.64,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","5-orange",35,13,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"ICRA",6,"wild",0.579,420,"1_ICRA_6",30,41,9.144,12.4968,3.558,"2",6
"334",8,"IMG_4768.jpg",8.446,0.592,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","5-orange",35,27,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"ICRA",7,"wild",0.614,420,"1_ICRA_7",30,41,9.144,12.4968,1.554,"2",6
"335",9,"IMG_4768.jpg",7.823,1.061,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","5-orange",35,25,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"ICRA",8,"wild",0.611,420,"1_ICRA_8",30,41,9.144,12.4968,2.177,"2",6
"336",10,"IMG_4768.jpg",6.665,1.119,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","5-orange",35,37,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"AGLO",1,"wild",0.671,420,"1_AGLO_1",30,41,9.144,12.4968,3.335,"1",6
"337",11,"IMG_4768.jpg",5.449,1.093,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","5-orange",35,38,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"AGLO",2,"wild",0.629,420,"1_AGLO_2",30,41,9.144,12.4968,4.551,"1",6
"338",12,"IMG_4768.jpg",7.219,1.02,"02.14.2026_ESA-TUT-001_AFTER",20260214,"1","5-orange",35,23,"ESA","TUT","ESA_TUT_1",-14.28361,-170.60696,"AGLO",3,"wild",0.628,420,"1_AGLO_3",30,41,9.144,12.4968,2.781,"1",6
